Date,Comments
"July 22, 2024",Husband loves them and wears them for work every day
"July 21, 2024",Perfect fit. My husbands favorite style! Comfy! One of the best styles Nike made to date.
"July 21, 2024",Love these shoes. A little tight. Bit that what I aanted
"July 20, 2024",These are great for jogging yet somewhat harsh on the feet. Good cross trainer.
"July 18, 2024",Shoes are comfy and light weight.  They look great.  Only issue I had was the front tow suede material started cracking after a month.  Kind of sucks because the rest of the shoe is really nice inside out.
"July 12, 2024","Usually the first week is hell for new shoes but these are very comfortable from the start.  Hoping they won't stretch out too much.Normally wear 10.5 but ordered 11.0.  Perfect fit so my opinion, they run small. Also is a narrow shoe. I have narrow and flat feet so the arch support is more than adequate and comfortable. Noticeable support without discomfort.I hope their durability is as great as the fit. Gave up on Nike years ago because their shoes fell apart after months."
"July 11, 2024",At first I thought it was mid delivered but I finally just got them . Thanks
"July 1, 2024",Confortable for running
"June 12, 2024",My son goes through shoes like crazy and finding these on Amazon was great! They were cheaper than purchasing in store anywhere and fit him just right.
"May 14, 2024",I've had 2 pairs for running and would use them for yard work after I wore them out for running. Now I just bought a pair for casual wearing.
"April 23, 2024",Very comfortable shoe. Appears to be very well-made. Depending on how active a person is depends on how long a shoe lasts with wear and tear. Because of the fit and comfort I’m reading this five stars. We’ll just have to see how long they last.
"April 23, 2024",I used this product as a shoe and since nike stopped doing shocks I have held back on buying any nicer Nikes but these are nice I dig them and they like me too .. totally comfortable I think I could wear these out
"April 17, 2024","These are some great style NIKE but definitely not what you'd wear for running. They just don't have the necessary bounce in the forefoot to provide adequate cushioning and the heel has barely the reflex to justify these as runners. These are more of a ""Street Style"" casual dress shoes, and here's where they excel, in looks and short term comfort for daily wear. Additionally: Order a Half to Whole Size larger than your normal size."
"April 16, 2024",These Nike shoes are so far go good.  A beautiful set of shoes that fit just about perfect.  I was worried when I ordered these shoes initially because I have wide feet.  They fit like a glove.  I purchased these two months ago but no sign of wear so far.
"April 5, 2024",Like Nike takes some time to break them in but feel good
"April 4, 2024","The feel of this shoe was tight at the top of shoe.  It would have caused serious discomfort over time.Loosing laces greatly did not resolve this on both shoes and even walking for a 1/2 mile and then loosening again did not help.Perhaps it will for someone else but not me at 10.5""."
"March 23, 2024",This style of Nike is the only shoe I've ever worn that I felt it improved my performance. I remember feeling it and laughing to myself because I thought of the +1 movement speed in RPG games. They have a perfect forward lean to them when you move forward that's good for a lot of athletic motions.
"February 7, 2024",It’s an amazing walking shoes. Looks great and comfortable. A little slippery with wet places.
"January 22, 2024",Brought this for a Christmas gift he love this style and I purchased at a sale price. Very nice looking Nike shoes. Comfortable and Stylish.
"August 9, 2020","Ive bought a pair of Torch 4 every year since 2013 I think.  I go through Tennis Shoes quickly.  I love the color scheme of this pair.  However as they get dirty you can really see darker stains.I love the comfort of the Torch 4, especially the sole.  I wear orthotics, and they work great in these shoes.  I do find over time the cushion fades and the support is lost.  This is a big reason I buy new ones yearly.  Plus the sole and fabric wears after heavy use.The only downside really is the length of the laces.  You have to really lace these tight to be able to tie in a bow.I have found these cheaper on sale in stores, but I would buy them again at this price.Update 12/2020: I did in fact buy another pair.  First pair had the material against the heel wear a hole making it uncomfortable.  I wouldnt say they were defective as I wore them for over 4 months almost daily and I wear insoles.  So it was just wear and tear in my opinion."
