Content,Tag
"I love Disney and brought my kids up with beauty and the beast, Bambi and Mickey Mouse. Sadly I think I went there 20years too late and I didn’t get the whole magic thing. What’s the magic in queuing for hours for a 2 minute ride, standing in the cold for 30 minutes to meet a character and spending around 12/13 hours out each day with no real provision to relax. We spent a small fortune on food and hot drinks. The whole park runs like clockwork but it’s just so busy. Apparently according to the data we chose the quietest week to go ?? Really, it was packed everywhere so I dread what it’s like in peak season. I’ll keep watching the films but sadly I won’t be returning to the park",Food Quality
"I love Disney and brought my kids up with beauty and the beast, Bambi and Mickey Mouse. Sadly I think I went there 20years too late and I didn’t get the whole magic thing. What’s the magic in queuing for hours for a 2 minute ride, standing in the cold for 30 minutes to meet a character and spending around 12/13 hours out each day with no real provision to relax. We spent a small fortune on food and hot drinks. The whole park runs like clockwork but it’s just so busy. Apparently according to the data we chose the quietest week to go ?? Really, it was packed everywhere so I dread what it’s like in peak season. I’ll keep watching the films but sadly I won’t be returning to the park",Overall Satisfaction
"I spent three unforgettable days at Disneyland Paris with my son, and it was truly magical! We met every character, took tons of pictures, and collected signatures—it was a dream come true for him.One of the highlights was having breakfast with the characters, which was so much fun, and the buffet was really good. Lunch at the Royal Banquet was also a great experience, with delicious food in a beautiful setting.The park itself is massive, and even after three days, there were still rides and attractions we didn’t have time for. Every moment was exciting, and the attention to detail in every corner of the park was incredible.The only downside was the long lines and waiting times, but overall, it was an amazing experience that we’ll never forget. Highly recommend for families!",Magic Atmosphere
"I spent three unforgettable days at Disneyland Paris with my son, and it was truly magical! We met every character, took tons of pictures, and collected signatures—it was a dream come true for him.One of the highlights was having breakfast with the characters, which was so much fun, and the buffet was really good. Lunch at the Royal Banquet was also a great experience, with delicious food in a beautiful setting.The park itself is massive, and even after three days, there were still rides and attractions we didn’t have time for. Every moment was exciting, and the attention to detail in every corner of the park was incredible.The only downside was the long lines and waiting times, but overall, it was an amazing experience that we’ll never forget. Highly recommend for families!",Family Experience
"I spent three unforgettable days at Disneyland Paris with my son, and it was truly magical! We met every character, took tons of pictures, and collected signatures—it was a dream come true for him.One of the highlights was having breakfast with the characters, which was so much fun, and the buffet was really good. Lunch at the Royal Banquet was also a great experience, with delicious food in a beautiful setting.The park itself is massive, and even after three days, there were still rides and attractions we didn’t have time for. Every moment was exciting, and the attention to detail in every corner of the park was incredible.The only downside was the long lines and waiting times, but overall, it was an amazing experience that we’ll never forget. Highly recommend for families!",Food Quality
"I spent three unforgettable days at Disneyland Paris with my son, and it was truly magical! We met every character, took tons of pictures, and collected signatures—it was a dream come true for him.One of the highlights was having breakfast with the characters, which was so much fun, and the buffet was really good. Lunch at the Royal Banquet was also a great experience, with delicious food in a beautiful setting.The park itself is massive, and even after three days, there were still rides and attractions we didn’t have time for. Every moment was exciting, and the attention to detail in every corner of the park was incredible.The only downside was the long lines and waiting times, but overall, it was an amazing experience that we’ll never forget. Highly recommend for families!",Attraction Availability
"I spent three unforgettable days at Disneyland Paris with my son, and it was truly magical! We met every character, took tons of pictures, and collected signatures—it was a dream come true for him.One of the highlights was having breakfast with the characters, which was so much fun, and the buffet was really good. Lunch at the Royal Banquet was also a great experience, with delicious food in a beautiful setting.The park itself is massive, and even after three days, there were still rides and attractions we didn’t have time for. Every moment was exciting, and the attention to detail in every corner of the park was incredible.The only downside was the long lines and waiting times, but overall, it was an amazing experience that we’ll never forget. Highly recommend for families!",Overall Satisfaction
Very long queues for rides.   Pizza and the pasta bolognese at the Stark cafe was awful.   Staff were friendly and helpful.   I would not recommend it as an attraction unless it is for very young children who seemed to enjoy the parade at 5:30PM.,Attraction Availability
Very long queues for rides.   Pizza and the pasta bolognese at the Stark cafe was awful.   Staff were friendly and helpful.   I would not recommend it as an attraction unless it is for very young children who seemed to enjoy the parade at 5:30PM.,Food Quality
Very long queues for rides.   Pizza and the pasta bolognese at the Stark cafe was awful.   Staff were friendly and helpful.   I would not recommend it as an attraction unless it is for very young children who seemed to enjoy the parade at 5:30PM.,Staff Friendliness
Very long queues for rides.   Pizza and the pasta bolognese at the Stark cafe was awful.   Staff were friendly and helpful.   I would not recommend it as an attraction unless it is for very young children who seemed to enjoy the parade at 5:30PM.,Family Experience
Very long queues for rides.   Pizza and the pasta bolognese at the Stark cafe was awful.   Staff were friendly and helpful.   I would not recommend it as an attraction unless it is for very young children who seemed to enjoy the parade at 5:30PM.,Event Experiences
Terrible customer service - payment taken 3 times by Disney which left us penniless with our two young children and still  not refunded  12 days later! Family of four split up for Princess breakfast which paid extra for! We had to return home as no money - at resort we were  told there was nothing they could do we had to email but we were unlikely to get a  response for at least 48 hrs. We received an automated email and are still waiting for our overpayment to be refunded 12 days later! Shane on you Disney!,Customer Service
Terrible customer service - payment taken 3 times by Disney which left us penniless with our two young children and still  not refunded  12 days later! Family of four split up for Princess breakfast which paid extra for! We had to return home as no money - at resort we were  told there was nothing they could do we had to email but we were unlikely to get a  response for at least 48 hrs. We received an automated email and are still waiting for our overpayment to be refunded 12 days later! Shane on you Disney!,Family Experience
"*Fantastic, extraordinary ….Don’t miss it if u come to Paris. You can get there by train easily by about 4€I think it’s better to set a complete day for your visit and suggest you stay there till the night to see the Beauty of lightening too.It has 4 part: Frontier-land, Adventure-land,fantasy-land and discovery-land. I like fantasy and adventure more than the others.These places were more interesting to me:*Indiana Jones and the Temple of Peril*Sleeping Beauty Castle*Pirates of the Caribbean*Pinaccio*Peter Pan's FlightYou can eat there by normal and average price.*Considering there is no place to charge your mobile except a place called “Arcade alpha” (you can find it in the map) so go there with full charge mobile and your charger.*You should buy a ticket by 54€ and there is no need to pay more anywhere in any station. It’s priced is really fair.*The staffs are so friendly and supportive ❤️*Dress comfort and easy specially your shoes because you will have a long walking.*If you have kids take stroller and don’t take them to strange and dark places, some of the attractions may be offensive or scary for them.*The lines are too busy but you can pay more at the city hall and skip the lines 😐it’s too bad because they show the children: you can pass others by money 😒 I think it’s not a good idea for making money, they can change the entrance price to the upper price to earn more, but act to all in a same way. It’s a bad role model for children so I decided to give 3 star to wonderful Disney land.* people have to stay in a long line for a 2 minute show or train, it’s no frustrating specially for the kids.* no need to get your.",Overall Satisfaction
"*Fantastic, extraordinary ….Don’t miss it if u come to Paris. You can get there by train easily by about 4€I think it’s better to set a complete day for your visit and suggest you stay there till the night to see the Beauty of lightening too.It has 4 part: Frontier-land, Adventure-land,fantasy-land and discovery-land. I like fantasy and adventure more than the others.These places were more interesting to me:*Indiana Jones and the Temple of Peril*Sleeping Beauty Castle*Pirates of the Caribbean*Pinaccio*Peter Pan's FlightYou can eat there by normal and average price.*Considering there is no place to charge your mobile except a place called “Arcade alpha” (you can find it in the map) so go there with full charge mobile and your charger.*You should buy a ticket by 54€ and there is no need to pay more anywhere in any station. It’s priced is really fair.*The staffs are so friendly and supportive ❤️*Dress comfort and easy specially your shoes because you will have a long walking.*If you have kids take stroller and don’t take them to strange and dark places, some of the attractions may be offensive or scary for them.*The lines are too busy but you can pay more at the city hall and skip the lines 😐it’s too bad because they show the children: you can pass others by money 😒 I think it’s not a good idea for making money, they can change the entrance price to the upper price to earn more, but act to all in a same way. It’s a bad role model for children so I decided to give 3 star to wonderful Disney land.* people have to stay in a long line for a 2 minute show or train, it’s no frustrating specially for the kids.* no need to get your.",Ticket Pricing
"*Fantastic, extraordinary ….Don’t miss it if u come to Paris. You can get there by train easily by about 4€I think it’s better to set a complete day for your visit and suggest you stay there till the night to see the Beauty of lightening too.It has 4 part: Frontier-land, Adventure-land,fantasy-land and discovery-land. I like fantasy and adventure more than the others.These places were more interesting to me:*Indiana Jones and the Temple of Peril*Sleeping Beauty Castle*Pirates of the Caribbean*Pinaccio*Peter Pan's FlightYou can eat there by normal and average price.*Considering there is no place to charge your mobile except a place called “Arcade alpha” (you can find it in the map) so go there with full charge mobile and your charger.*You should buy a ticket by 54€ and there is no need to pay more anywhere in any station. It’s priced is really fair.*The staffs are so friendly and supportive ❤️*Dress comfort and easy specially your shoes because you will have a long walking.*If you have kids take stroller and don’t take them to strange and dark places, some of the attractions may be offensive or scary for them.*The lines are too busy but you can pay more at the city hall and skip the lines 😐it’s too bad because they show the children: you can pass others by money 😒 I think it’s not a good idea for making money, they can change the entrance price to the upper price to earn more, but act to all in a same way. It’s a bad role model for children so I decided to give 3 star to wonderful Disney land.* people have to stay in a long line for a 2 minute show or train, it’s no frustrating specially for the kids.* no need to get your.",Staff Friendliness
"*Fantastic, extraordinary ….Don’t miss it if u come to Paris. You can get there by train easily by about 4€I think it’s better to set a complete day for your visit and suggest you stay there till the night to see the Beauty of lightening too.It has 4 part: Frontier-land, Adventure-land,fantasy-land and discovery-land. I like fantasy and adventure more than the others.These places were more interesting to me:*Indiana Jones and the Temple of Peril*Sleeping Beauty Castle*Pirates of the Caribbean*Pinaccio*Peter Pan's FlightYou can eat there by normal and average price.*Considering there is no place to charge your mobile except a place called “Arcade alpha” (you can find it in the map) so go there with full charge mobile and your charger.*You should buy a ticket by 54€ and there is no need to pay more anywhere in any station. It’s priced is really fair.*The staffs are so friendly and supportive ❤️*Dress comfort and easy specially your shoes because you will have a long walking.*If you have kids take stroller and don’t take them to strange and dark places, some of the attractions may be offensive or scary for them.*The lines are too busy but you can pay more at the city hall and skip the lines 😐it’s too bad because they show the children: you can pass others by money 😒 I think it’s not a good idea for making money, they can change the entrance price to the upper price to earn more, but act to all in a same way. It’s a bad role model for children so I decided to give 3 star to wonderful Disney land.* people have to stay in a long line for a 2 minute show or train, it’s no frustrating specially for the kids.* no need to get your.",Family Experience
"*Fantastic, extraordinary ….Don’t miss it if u come to Paris. You can get there by train easily by about 4€I think it’s better to set a complete day for your visit and suggest you stay there till the night to see the Beauty of lightening too.It has 4 part: Frontier-land, Adventure-land,fantasy-land and discovery-land. I like fantasy and adventure more than the others.These places were more interesting to me:*Indiana Jones and the Temple of Peril*Sleeping Beauty Castle*Pirates of the Caribbean*Pinaccio*Peter Pan's FlightYou can eat there by normal and average price.*Considering there is no place to charge your mobile except a place called “Arcade alpha” (you can find it in the map) so go there with full charge mobile and your charger.*You should buy a ticket by 54€ and there is no need to pay more anywhere in any station. It’s priced is really fair.*The staffs are so friendly and supportive ❤️*Dress comfort and easy specially your shoes because you will have a long walking.*If you have kids take stroller and don’t take them to strange and dark places, some of the attractions may be offensive or scary for them.*The lines are too busy but you can pay more at the city hall and skip the lines 😐it’s too bad because they show the children: you can pass others by money 😒 I think it’s not a good idea for making money, they can change the entrance price to the upper price to earn more, but act to all in a same way. It’s a bad role model for children so I decided to give 3 star to wonderful Disney land.* people have to stay in a long line for a 2 minute show or train, it’s no frustrating specially for the kids.* no need to get your.",Crowd Management
"*Fantastic, extraordinary ….Don’t miss it if u come to Paris. You can get there by train easily by about 4€I think it’s better to set a complete day for your visit and suggest you stay there till the night to see the Beauty of lightening too.It has 4 part: Frontier-land, Adventure-land,fantasy-land and discovery-land. I like fantasy and adventure more than the others.These places were more interesting to me:*Indiana Jones and the Temple of Peril*Sleeping Beauty Castle*Pirates of the Caribbean*Pinaccio*Peter Pan's FlightYou can eat there by normal and average price.*Considering there is no place to charge your mobile except a place called “Arcade alpha” (you can find it in the map) so go there with full charge mobile and your charger.*You should buy a ticket by 54€ and there is no need to pay more anywhere in any station. It’s priced is really fair.*The staffs are so friendly and supportive ❤️*Dress comfort and easy specially your shoes because you will have a long walking.*If you have kids take stroller and don’t take them to strange and dark places, some of the attractions may be offensive or scary for them.*The lines are too busy but you can pay more at the city hall and skip the lines 😐it’s too bad because they show the children: you can pass others by money 😒 I think it’s not a good idea for making money, they can change the entrance price to the upper price to earn more, but act to all in a same way. It’s a bad role model for children so I decided to give 3 star to wonderful Disney land.* people have to stay in a long line for a 2 minute show or train, it’s no frustrating specially for the kids.* no need to get your.",Ride Experience
"Disney land is an emotional roller coasterThere are times when you are in there where you think it's wonderful and then times when it is a bit of a nightmare My experience was that Disney land brings out the worst in people, most people are ordinary folks who have worked so hard   to get their families in here and they are desperately trying to get their money's worth, there is an under tone of desperation from people, running around trying to avoid long queues, trying to keep kids warm in freezing temperatures, screaming toddlers straped into prams ,  people worn out from queuing for 80 minutes for a 2 minute ride , it's quite soul destroying at times .  The merchandise in the shops is beyond over priced , don't feel the pressure to buy anything they are ripping you off so badly its kind of upsetting as it's heart breaking for us minions who are trying to experience the "" Disney magic "" My tip is download app before you go and familiarise yourself with it , you can check queue times on app , pick 3 rides a day you really want to go on and pay for fast track , it cuts about 20 minutes of your wait Bring in a phone bank for mobile as the app saps life out of phone Prepare yourself for long long long queues , so long I honestly can't see the point in going, it was so disappointing , try and bring in your own water and food as Disney food is not good, unless you book restaurants which I believe are nice but I shudder to think what they cost Be prepared for people vaping all the time , lovely big blow backs of some vile strawberry flavour 2nd hand smoke in your face constantly, Disney seriously wake up and ban vaping it's disgusting Also so many people taking photos obviously for their socials so they can show the world their "" Disney dream "" one lady actually asked me and my son to move so she could take multiple shots of herself with Disney in background, we were just taking a small break and taking in the surroundings , it was very annoying The whole thing has become about people  getting photos for social media pretending to the word that they are living the dream Unless you earn massive money avoid this place , it bleeds you dry",Crowd Management
"Disney land is an emotional roller coasterThere are times when you are in there where you think it's wonderful and then times when it is a bit of a nightmare My experience was that Disney land brings out the worst in people, most people are ordinary folks who have worked so hard   to get their families in here and they are desperately trying to get their money's worth, there is an under tone of desperation from people, running around trying to avoid long queues, trying to keep kids warm in freezing temperatures, screaming toddlers straped into prams ,  people worn out from queuing for 80 minutes for a 2 minute ride , it's quite soul destroying at times .  The merchandise in the shops is beyond over priced , don't feel the pressure to buy anything they are ripping you off so badly its kind of upsetting as it's heart breaking for us minions who are trying to experience the "" Disney magic "" My tip is download app before you go and familiarise yourself with it , you can check queue times on app , pick 3 rides a day you really want to go on and pay for fast track , it cuts about 20 minutes of your wait Bring in a phone bank for mobile as the app saps life out of phone Prepare yourself for long long long queues , so long I honestly can't see the point in going, it was so disappointing , try and bring in your own water and food as Disney food is not good, unless you book restaurants which I believe are nice but I shudder to think what they cost Be prepared for people vaping all the time , lovely big blow backs of some vile strawberry flavour 2nd hand smoke in your face constantly, Disney seriously wake up and ban vaping it's disgusting Also so many people taking photos obviously for their socials so they can show the world their "" Disney dream "" one lady actually asked me and my son to move so she could take multiple shots of herself with Disney in background, we were just taking a small break and taking in the surroundings , it was very annoying The whole thing has become about people  getting photos for social media pretending to the word that they are living the dream Unless you earn massive money avoid this place , it bleeds you dry",Ride Experience
"Disney land is an emotional roller coasterThere are times when you are in there where you think it's wonderful and then times when it is a bit of a nightmare My experience was that Disney land brings out the worst in people, most people are ordinary folks who have worked so hard   to get their families in here and they are desperately trying to get their money's worth, there is an under tone of desperation from people, running around trying to avoid long queues, trying to keep kids warm in freezing temperatures, screaming toddlers straped into prams ,  people worn out from queuing for 80 minutes for a 2 minute ride , it's quite soul destroying at times .  The merchandise in the shops is beyond over priced , don't feel the pressure to buy anything they are ripping you off so badly its kind of upsetting as it's heart breaking for us minions who are trying to experience the "" Disney magic "" My tip is download app before you go and familiarise yourself with it , you can check queue times on app , pick 3 rides a day you really want to go on and pay for fast track , it cuts about 20 minutes of your wait Bring in a phone bank for mobile as the app saps life out of phone Prepare yourself for long long long queues , so long I honestly can't see the point in going, it was so disappointing , try and bring in your own water and food as Disney food is not good, unless you book restaurants which I believe are nice but I shudder to think what they cost Be prepared for people vaping all the time , lovely big blow backs of some vile strawberry flavour 2nd hand smoke in your face constantly, Disney seriously wake up and ban vaping it's disgusting Also so many people taking photos obviously for their socials so they can show the world their "" Disney dream "" one lady actually asked me and my son to move so she could take multiple shots of herself with Disney in background, we were just taking a small break and taking in the surroundings , it was very annoying The whole thing has become about people  getting photos for social media pretending to the word that they are living the dream Unless you earn massive money avoid this place , it bleeds you dry",Ticket Pricing
"Disney land is an emotional roller coasterThere are times when you are in there where you think it's wonderful and then times when it is a bit of a nightmare My experience was that Disney land brings out the worst in people, most people are ordinary folks who have worked so hard   to get their families in here and they are desperately trying to get their money's worth, there is an under tone of desperation from people, running around trying to avoid long queues, trying to keep kids warm in freezing temperatures, screaming toddlers straped into prams ,  people worn out from queuing for 80 minutes for a 2 minute ride , it's quite soul destroying at times .  The merchandise in the shops is beyond over priced , don't feel the pressure to buy anything they are ripping you off so badly its kind of upsetting as it's heart breaking for us minions who are trying to experience the "" Disney magic "" My tip is download app before you go and familiarise yourself with it , you can check queue times on app , pick 3 rides a day you really want to go on and pay for fast track , it cuts about 20 minutes of your wait Bring in a phone bank for mobile as the app saps life out of phone Prepare yourself for long long long queues , so long I honestly can't see the point in going, it was so disappointing , try and bring in your own water and food as Disney food is not good, unless you book restaurants which I believe are nice but I shudder to think what they cost Be prepared for people vaping all the time , lovely big blow backs of some vile strawberry flavour 2nd hand smoke in your face constantly, Disney seriously wake up and ban vaping it's disgusting Also so many people taking photos obviously for their socials so they can show the world their "" Disney dream "" one lady actually asked me and my son to move so she could take multiple shots of herself with Disney in background, we were just taking a small break and taking in the surroundings , it was very annoying The whole thing has become about people  getting photos for social media pretending to the word that they are living the dream Unless you earn massive money avoid this place , it bleeds you dry",Food Quality
"Disney land is an emotional roller coasterThere are times when you are in there where you think it's wonderful and then times when it is a bit of a nightmare My experience was that Disney land brings out the worst in people, most people are ordinary folks who have worked so hard   to get their families in here and they are desperately trying to get their money's worth, there is an under tone of desperation from people, running around trying to avoid long queues, trying to keep kids warm in freezing temperatures, screaming toddlers straped into prams ,  people worn out from queuing for 80 minutes for a 2 minute ride , it's quite soul destroying at times .  The merchandise in the shops is beyond over priced , don't feel the pressure to buy anything they are ripping you off so badly its kind of upsetting as it's heart breaking for us minions who are trying to experience the "" Disney magic "" My tip is download app before you go and familiarise yourself with it , you can check queue times on app , pick 3 rides a day you really want to go on and pay for fast track , it cuts about 20 minutes of your wait Bring in a phone bank for mobile as the app saps life out of phone Prepare yourself for long long long queues , so long I honestly can't see the point in going, it was so disappointing , try and bring in your own water and food as Disney food is not good, unless you book restaurants which I believe are nice but I shudder to think what they cost Be prepared for people vaping all the time , lovely big blow backs of some vile strawberry flavour 2nd hand smoke in your face constantly, Disney seriously wake up and ban vaping it's disgusting Also so many people taking photos obviously for their socials so they can show the world their "" Disney dream "" one lady actually asked me and my son to move so she could take multiple shots of herself with Disney in background, we were just taking a small break and taking in the surroundings , it was very annoying The whole thing has become about people  getting photos for social media pretending to the word that they are living the dream Unless you earn massive money avoid this place , it bleeds you dry",Planning Tips
"Disney land is an emotional roller coasterThere are times when you are in there where you think it's wonderful and then times when it is a bit of a nightmare My experience was that Disney land brings out the worst in people, most people are ordinary folks who have worked so hard   to get their families in here and they are desperately trying to get their money's worth, there is an under tone of desperation from people, running around trying to avoid long queues, trying to keep kids warm in freezing temperatures, screaming toddlers straped into prams ,  people worn out from queuing for 80 minutes for a 2 minute ride , it's quite soul destroying at times .  The merchandise in the shops is beyond over priced , don't feel the pressure to buy anything they are ripping you off so badly its kind of upsetting as it's heart breaking for us minions who are trying to experience the "" Disney magic "" My tip is download app before you go and familiarise yourself with it , you can check queue times on app , pick 3 rides a day you really want to go on and pay for fast track , it cuts about 20 minutes of your wait Bring in a phone bank for mobile as the app saps life out of phone Prepare yourself for long long long queues , so long I honestly can't see the point in going, it was so disappointing , try and bring in your own water and food as Disney food is not good, unless you book restaurants which I believe are nice but I shudder to think what they cost Be prepared for people vaping all the time , lovely big blow backs of some vile strawberry flavour 2nd hand smoke in your face constantly, Disney seriously wake up and ban vaping it's disgusting Also so many people taking photos obviously for their socials so they can show the world their "" Disney dream "" one lady actually asked me and my son to move so she could take multiple shots of herself with Disney in background, we were just taking a small break and taking in the surroundings , it was very annoying The whole thing has become about people  getting photos for social media pretending to the word that they are living the dream Unless you earn massive money avoid this place , it bleeds you dry",Magic Atmosphere
"Disney land is an emotional roller coasterThere are times when you are in there where you think it's wonderful and then times when it is a bit of a nightmare My experience was that Disney land brings out the worst in people, most people are ordinary folks who have worked so hard   to get their families in here and they are desperately trying to get their money's worth, there is an under tone of desperation from people, running around trying to avoid long queues, trying to keep kids warm in freezing temperatures, screaming toddlers straped into prams ,  people worn out from queuing for 80 minutes for a 2 minute ride , it's quite soul destroying at times .  The merchandise in the shops is beyond over priced , don't feel the pressure to buy anything they are ripping you off so badly its kind of upsetting as it's heart breaking for us minions who are trying to experience the "" Disney magic "" My tip is download app before you go and familiarise yourself with it , you can check queue times on app , pick 3 rides a day you really want to go on and pay for fast track , it cuts about 20 minutes of your wait Bring in a phone bank for mobile as the app saps life out of phone Prepare yourself for long long long queues , so long I honestly can't see the point in going, it was so disappointing , try and bring in your own water and food as Disney food is not good, unless you book restaurants which I believe are nice but I shudder to think what they cost Be prepared for people vaping all the time , lovely big blow backs of some vile strawberry flavour 2nd hand smoke in your face constantly, Disney seriously wake up and ban vaping it's disgusting Also so many people taking photos obviously for their socials so they can show the world their "" Disney dream "" one lady actually asked me and my son to move so she could take multiple shots of herself with Disney in background, we were just taking a small break and taking in the surroundings , it was very annoying The whole thing has become about people  getting photos for social media pretending to the word that they are living the dream Unless you earn massive money avoid this place , it bleeds you dry",Overall Satisfaction
I had planned our visit extensively for our visit on 23 December and thought I was ready.  We had purchased return transfers from Gare du Nord but on the day at the designated pick up spot  we were met by a Disney rep and had to walk 500 metres to another location to meet the bus.  Sense of arrival was great and we loved  the Christmas tree and decorations.  Wait times were crazy even early in the day. One of the highlights was the queen of hearts maze.  We spent 90 minutes queuing for its a small world and then discovered you could buy individual fast passes for as cheap as 9 euros per person.  We did this for most major rides to save hours in the queues.  This could have been better promoted.  Crowds were next level.  We loved being able to buy champagne in Disney glasses at top of Main Street but surprised they only took cash.  Overall the kids enjoyed their visit.  Pirates of the Caribbean was popular. Poor signage getting back to our bus meant we missed it and had to get a BOLT,Planning Tips
