Content,Date,Consumer Sentiment Classifier,Automatic Classifier
This little mouse decal is so cute. I plan to stick my decal on the baseboard in the bathroom and wait to see when folks notice it.,2024-01-22T00:00:00.0000000Z,Positive,Cuteness
So cute - I’ve built a new bathroom at our house and look forward to putting this just along the baseboards to give people a chuckle in the loo. Thank you!,2024-01-19T00:00:00.0000000Z,Positive,Cuteness
Looked exactly like the pictures and I love how it looks on the wall. So cute!,2024-01-19T00:00:00.0000000Z,Positive,Cuteness
"Super cute!  Delivery was really fast, and the item is exactly as described.",2024-01-17T00:00:00.0000000Z,Positive,Cuteness
Just makes me laugh every time I look at him! Arrived quickly and safely.,2024-01-13T00:00:00.0000000Z,Positive,Humor
"Love these little critters.  I ordered one for the bathroom, and  a mouse holding a heart was thrown in for free.  He is now my official greeter, meeting my guests at the front door.
Durable, good quality",2024-01-12T00:00:00.0000000Z,Positive,Cuteness
I purchase this for a friend that has rat problems this winter season and has a 6 year old that fell in love with the rat and was sad when it was gone. This is a great gift.,2024-01-12T00:00:00.0000000Z,Positive,Gift
Absolutely love this sticker...put in my guest bath...everyone loves it!,2024-01-11T00:00:00.0000000Z,Positive,Cuteness
"Great material! Beautiful graphics! Can’t wait for the bathroom remodel
To be complete so i can put it up! Thanks!",2024-01-10T00:00:00.0000000Z,Positive,Quality
So adorable. Can't wait for the grandsons to visit and see it. Great quality.,2024-01-09T00:00:00.0000000Z,Positive,Adorableness
This wall sticker is adorable! The design and quality of the material is excellent.,2024-01-09T00:00:00.0000000Z,Positive,Adorableness
This is absolutely adorable!! Now I want all of them!! Super fast shipping!! Thank you so very much!!,2024-01-09T00:00:00.0000000Z,Positive,Cuteness
If I could give 10 stars for customer service I would! ❤️ shipping the 2 nd time was perfect,2024-01-08T00:00:00.0000000Z,Positive,Customer Service
This is an incredible seller on Etsy! She will make custom sizes if applicable. Very kind and great to purchase from!,2024-01-07T00:00:00.0000000Z,Positive,Customer Service
Absolutely adorable. My 3 children think it’s hilarious. Cute little whimsical touch to our bathroom.,2024-01-05T00:00:00.0000000Z,Positive,Cuteness
"I purchased about 10 total as that ""lil extra"" to go along with Christmas gift and they were a huge hit. Can't we all use a little magical imagination???  ;-)",2024-01-05T00:00:00.0000000Z,Positive,Gift
Loved the stickers ... I'll definitely be back to buy more things from this seller!,2024-01-03T00:00:00.0000000Z,Positive,Customer Service
Love this! It’s so cute & whimsical. Very high quality and vivid colors,2024-01-03T00:00:00.0000000Z,Positive,Cuteness
Super cute little sticker. Added it to my bathroom for a funny little moment.,2024-01-02T00:00:00.0000000Z,Positive,Cuteness
"Adorable sticker- but got all squished up during shipping. 
Maybe ship it between 2 card stock pages or a sturdier envelope? Waiting for it to flatten down still.",-,Negative,Shipping
I’m so excited I’m hiding it by the toilet and waiting to see who sees it,2023-12-30T00:00:00.0000000Z,Positive,Humor
This little decal was a hit at my Christmas gathering. It came very quickly I placed it in the guest bathroom and everyone loved it!  The colors are bright and clear. I absolutely love it. I highly recommend it.,2023-12-29T00:00:00.0000000Z,Positive,Cuteness
"Lovely decal, arrived quickly with a lovely note and an extra decal, much appreciated",2023-12-29T00:00:00.0000000Z,Positive,Gift
"Everything fine. I had requests for changes afterwards, which were implemented without any problems.
Only the postage hurts.",2024-01-01T00:00:00.0000000Z,Positive,Shipping
"Adorable images, great quality. Had shipping issue where shipping scan stopped mid-transit. She got a new set sent. Highly recommend!",2023-12-26T00:00:00.0000000Z,Positive,Shipping
I bought two different decals and they are both adorable.  My guests had a giggle out of one I placed in a guest bath.,2023-12-26T00:00:00.0000000Z,Positive,Cuteness
Love the little mouse. I bought the 4” size. Nice quality. Easily removes from wall without damaging,2023-12-24T00:00:00.0000000Z,Positive,Quality
These wall stickers are absolutely beautiful!. I am going to surprise my family and friends!! i bought the toilet mouse,2023-12-24T00:00:00.0000000Z,Positive,Adorableness
"Cute‼️ Easy to remove decal from backing unlike some others for sale on Etsy. Larger than expected, which was nice for viewing when placement was on baseboard. Decal is on larger backing so it can be replaced on backing for storage and use in the future.",2023-12-22T00:00:00.0000000Z,Positive,Cuteness
"So so cute highly anticipated fun comments coming from visiting bathroom peeps 
👏🏻🎄🐾",2023-12-22T00:00:00.0000000Z,Positive,Cuteness
So cute.  Clever idea to add a bit of humor to a room.  Item arrived in perfect condition.  Thank you.,2023-12-21T00:00:00.0000000Z,Positive,Cuteness
